date,open,high,low,close,volume,weekday,day,month,sma_14,ema_14,macd,adx,rsi,stoch,roc,obv,mfi,bb_bbm,bb_bbh,bb_bbl,atr,ret1,mov1
2008-11-05,8.32958,8.55887,8.15532,8.18574,11190514.529451,2,5,11,7.971097857142857,8.064460841709534,-0.09524625142978849,21.29590650053803,49.875492448521705,72.3719940651157,-1.1801774612180955,566218116.2665256,62.49232584589248,7.706974499999999,8.827800906103736,6.586148093896264,0.5983760013014522,-0.05224186277087202,0
2008-11-06,8.18377,8.36463,7.64661,7.76908,17544730.27091,3,6,11,7.994241428571428,8.025076729481597,-0.11316599607703459,19.897782649607223,45.504035607380736,41.25555906975541,-0.06855825715391695,548673385.9956156,55.098357454125264,7.747374500000001,8.814718348166757,6.680030651833246,0.6069220012084913,0.07250611424899096,1
2008-11-07,7.72655,8.37271,7.65497,8.35331,14474689.435685,4,7,11,7.9992278571428574,8.068841165550717,-0.07931079890804504,18.583628407425586,51.87359184145218,78.96557733642298,13.661610389044915,563148075.4313006,54.219501749954055,7.8349695,8.793779175117756,6.876159824882244,0.6148375725507419,-0.030954312529101902,0
2008-11-10,8.53033,8.53033,7.89481,8.0987,15445616.499396,0,10,11,8.022391428571428,8.072822343477288,-0.07219301424393088,17.467688557112556,49.176011302925694,62.531385749417396,1.3189845957912,547702458.9319047,59.33891627479377,7.863796500000001,8.817910124287705,6.9096828757122974,0.6163148887971175,-0.024787632353967113,0
2008-11-11,7.97189,8.06494,7.65497,7.90042,15342825.076003,1,11,11,8.061758571428571,8.049835364346983,-0.0816108978917729,16.502525761101907,47.12092509769363,46.27468024338757,2.7201181608615626,532359633.85590166,60.380048222030915,7.8807255,8.824769542648125,6.936681457351873,0.6039873967401805,-0.02485568683744373,0
2008-11-12,7.74053,7.87236,7.61244,7.70647,15750235.706512,2,12,11,8.041272857142857,8.004053315767385,-0.10353133781083201,15.69318817357704,45.134023531109044,32.894573450887876,6.417086454121653,516609398.1493897,51.74732845506812,7.9323155,8.70415231183228,7.16047868816772,0.5814154398301676,0.10414937100678623,1
2008-11-13,7.66403,8.58615,7.5768,8.55238,24171868.09937,3,13,11,8.102785,8.077163540331734,-0.05204562734501472,15.602135224748602,54.20405210286013,91.25170743822173,6.429939432705825,540781266.2487596,61.19885595413764,7.9987865,8.74331147640537,7.254261523594628,0.6119821941280128,-0.015580776337105976,0
2008-11-14,8.46505,8.82096,8.06996,8.42016,25751783.713772,4,14,11,8.18695642857143,8.122896401620835,-0.02166217182512753,15.896003216335108,52.73656248542556,74.70990213337873,4.6395967599623065,515029482.5349876,72.12342820461276,8.047541,8.767957662936402,7.3271243370636,0.6219120374045833,-0.03590097211895435,0
2008-11-17,8.29434,8.61677,8.1176,8.12323,19773817.775187,0,17,11,8.193209285714286,8.122940881404723,-0.02129733149672397,16.16888063709401,49.495757717092836,43.91959233539091,-3.5264175502603248,495255664.7598006,64.2807264688235,8.0395275,8.752797251577494,7.326257748422506,0.6131447490185418,0.021734863919234182,1
2008-11-18,8.12323,8.36345,7.93627,8.30172,17821690.802797,1,18,11,8.211416428571429,8.146778097217428,-0.006530264783625839,15.973074987138727,51.428042579311224,58.265817901234534,-1.2877496129616797,513077355.56259763,56.735796952013665,8.065892999999999,8.776994050346868,7.354791949653131,0.5998615526600746,-0.04296380302511132,0
2008-11-19,8.27946,8.54559,7.93941,7.9526,18035901.051714,2,19,11,8.178019285714287,8.120887684255106,-0.022736235139078076,16.12374347434213,47.592495710778046,30.205118312757218,-4.1008505101493125,495041454.5108836,48.510535261559475,8.096059,8.730002984904361,7.46211501509564,0.6003128703272121,-0.038143809129374845,0
2008-11-20,7.84784,8.14971,7.57316,7.65497,31867129.909292,3,20,11,8.124087142857144,8.058765326354425,-0.05891668216811752,15.384008661624392,44.54257020953686,6.556339156916168,-9.148125334539161,463174324.60159165,38.364351465647616,8.079144,8.740611529495151,7.417676470504848,0.598615522446697,0.11770392633153745,1
2008-11-21,7.87964,8.63409,7.64788,8.61116,37197656.751507,4,21,11,8.14683642857143,8.132417949507168,-0.010314506112029775,15.5676116562417,54.60705007095485,83.1864080782177,5.197086640914576,500371981.35309863,48.87713170184764,8.1251415,8.80011250658578,7.45017049341422,0.626300842271933,-0.00018349966429248183,0
2008-11-24,8.64847,8.85256,8.27946,8.60958,23911003.451817,0,24,11,8.159965714285715,8.196039556239546,0.027755626195297367,16.084481076522312,54.58942066593713,81.00828513365633,10.818526775371081,476460977.90128165,49.88067365577132,8.1935325,8.766018396206555,7.621046603793445,0.6225007821096521,-0.008071204373140788,0
2008-11-25,8.60958,8.83189,8.34602,8.54037,18807586.317791,1,25,11,8.185296428571428,8.241950282074272,0.05174532385835917,16.564431252497165,53.770522977184356,75.59871814913234,2.2393518258031713,457653391.58349067,48.47311027007236,8.2187665,8.805511318171769,7.63202168182823,0.6127414405303913,0.01005887174701268,1
2008-11-26,8.36345,8.6664,8.22423,8.62671,13016063.272411,2,26,11,8.246555714285714,8.293251577797703,0.07683850209741294,16.68724002668955,54.68379998346617,82.3471939971861,6.519688345043033,470669454.85590166,49.0473953088635,8.247761,8.854619482346934,7.640902517653068,0.6005577662067918,0.006179061648532616,1
2008-11-28,8.64345,8.79773,8.5572,8.68018,7203964.0659368,4,28,11,8.269903571428571,8.344842034091343,0.09988816023801306,17.040536437911925,55.27309827419399,86.52649679537281,9.869855020366,477873418.92183846,47.84660018975042,8.260762,8.892469265166724,7.629054734833275,0.5748414971920209,-0.0735159937885606,0
2008-12-01,8.57021,8.57021,8.05893,8.06494,16214022.05256,0,1,12,8.267492142857142,8.307521762879164,0.06772970823719504,16.12222363711356,47.60248049228468,38.4383304674066,4.65154603858835,461659396.8692785,42.31760099461959,8.243508,8.876814345953065,7.610201654046936,0.5781563902497336,0.010660966076387987,1
2008-12-02,8.17264,8.27759,7.89058,8.15138,21111156.518742,1,2,12,8.285417857142857,8.286702861161942,0.04865798990906356,15.040943151517913,48.68007999562106,45.19462247928713,-4.688753306097248,482770553.3880205,41.42866602798625,8.2364435,8.870550298900172,7.602336701099828,0.564503076660467,0.024470629427562104,1
2008-12-03,8.00183,8.37497,7.92248,8.35331,15962981.308163,2,3,12,8.331620714285714,8.295583813007017,0.049269629510567015,14.112509357853137,51.20469667424493,60.97780209473193,-0.7939279063580591,498733534.6961835,46.71893244730784,8.232820499999999,8.863377062839069,7.602263937160928,0.5565021426132907,-0.051214475918572075,0
2008-12-04,8.28725,8.43728,7.81161,7.93627,14635403.494024,3,4,12,8.287612857142857,8.247675304606082,0.015919208919031647,13.2169522793241,46.15474332273587,28.38127247147104,-2.301547537125,484098131.2021595,39.783163170720094,8.220347,8.863871942208476,7.576822057791524,0.5614427038551985,0.03893949133813456,1
2008-12-05,7.84607,8.27946,7.65921,8.2514,19524543.342575,4,5,12,8.275558571428572,8.248171930658604,0.014747122029151072,12.735918483893228,50.15506847792901,53.01234953884636,-0.6061394506198626,503622674.54473454,38.19219582910337,8.244463,8.853776139628895,7.635149860371103,0.5656432250083986,-0.011472102844606634,0
2008-12-08,8.44379,8.44379,8.03943,8.15728,16394690.660257,0,8,12,8.277990714285714,8.23605300657079,0.006152613815947561,11.872951703419584,48.98453540937546,45.655776145068,2.5737494655835795,487227983.88447756,44.7143447407125,8.2346615,8.84296148005213,7.626361519947869,0.5541229946506558,-0.008617086581790273,0
2008-12-09,8.08245,8.20129,8.02221,8.08729,13038437.23216,1,9,12,8.262674285714287,8.216217939028018,-0.006234338360387781,11.115186217342,48.08581501023847,40.18524308269497,5.647572753387666,474189546.6523176,45.53911522233357,8.234091,8.842921132102889,7.62526086789711,0.5273342093184662,-0.002145167852906377,0
2008-12-10,8.18003,8.20888,7.87964,8.06996,19912485.94664,2,10,12,8.271057142857142,8.19671688049095,-0.01725061897306901,10.777527879919676,47.85171020798794,38.83070189151165,-6.284867543977814,454277060.70567757,45.262108641447526,8.242568,8.837132732745244,7.648003267254757,0.5131846229385758,0.007499724979828031,1
2008-12-11,8.00912,8.37497,7.98303,8.13071,14093934.97912,3,11,12,8.305038571428572,8.187915963092157,-0.020838865960520536,10.015919454463724,48.79285470999607,40.07952319288113,-5.562059937883135,468370995.6847976,53.71304781544511,8.26378,8.80850897385803,7.71905102614197,0.5045242927286775,0.013410344032048726,1
2008-12-12,7.96461,8.27572,7.86833,8.24048,12641767.686831,4,12,12,8.278561428571427,8.194924501346536,-0.014656109429768804,9.603230115141733,50.53017031157967,48.709096241672576,-3.5114403708504383,481012763.3716286,43.11759522804453,8.248185,8.776585818375995,7.719784181624003,0.4975861289623434,-0.02005664961594897,0
2008-12-15,8.24412,8.35164,7.96785,8.07685,13157713.555078,0,15,12,8.240509285714285,8.179181234500332,-0.022698153635820617,8.996178823162236,47.92022759194957,35.61414878739303,-6.373924705942347,467855049.8165506,39.96473492356573,8.2310195,8.758262198972137,7.703776801027864,0.48945783403646165,0.056263619295161584,1
2008-12-16,8.16605,8.57218,8.15355,8.54431,15166587.991203,1,16,12,8.240790714285714,8.227865069900288,0.008550024306853032,8.895512309425209,55.06134951519026,77.74127815058144,-1.5652901207117893,483021637.8077536,48.086860341176134,8.2520735,8.793846747928894,7.7103002520711055,0.4898772744624286,-0.013772515779531178,0
2008-12-17,8.46692,8.5254,8.26952,8.42744,11965926.41884,2,17,12,8.226557142857143,8.25447506058025,0.02361181586528005,8.802036260955115,53.10095719390686,67.47619716825362,4.4947637552170345,471055711.38891363,48.36824464814231,8.2583595,8.805184813842933,7.711534186157065,0.47451389771511227,0.060857447503352056,1
2008-12-18,8.48021,9.02388,8.43728,8.95624,34264528.948708,3,18,12,8.246275714285714,8.34804371916955,0.07732676006786221,9.929169383130894,60.03449015947218,95.0434903676346,9.873910920604851,505320240.3376216,54.648038232948466,8.3085415,8.914886826898314,7.702196173101687,0.48322290502117565,0.0016578034893440028,1
2008-12-19,8.89283,9.20276,8.89283,8.9711,25221146.681832,4,19,12,8.311001428571428,8.431117889946943,0.11971531452780226,11.333244455276102,60.2125021596873,84.99173982054356,7.395750905928302,530541387.01945364,63.194796320746434,8.374348000000001,8.968232067596047,7.780463932403956,0.47084484037680596,0.010632046218346711,1
2008-12-22,8.95446,9.23487,8.90996,9.06699,15815311.954974,0,22,12,8.376402142857144,8.515900837954018,0.15921078808441713,12.70072662425906,61.407070128426504,89.34541715852404,14.24749914002422,546356698.9744277,71.11105473464141,8.3971395,9.05695392786546,7.7373250721345395,0.46042092320703415,-0.026048280574465146,0
2008-12-23,9.10431,9.18446,8.81565,8.83386,9926626.5258287,1,23,12,8.410727142857143,8.558295392893482,0.16974290226029076,13.611567602606938,56.93170994434594,74.54971250142792,7.0589233342220625,536430072.448599,66.03601308538059,8.4083535,9.089507542674214,7.727199457325787,0.4538772858351031,0.01082992878865877,1
2008-12-24,8.83888,9.00822,8.83888,8.93005,3324521.7739972,2,24,12,8.481711428571428,8.607862673841018,0.18373344297061678,14.457348511072825,58.282670175021124,80.65445591053901,9.473378381028965,539754594.2225962,69.10143246403942,8.427837499999999,9.144356935322882,7.711318064677115,0.43391176541831006,-0.003025832897999067,0
2008-12-26,8.93537,9.03509,8.86408,8.90307,3987111.1329251,4,26,12,8.528259285714286,8.647223650662216,0.19044861369271615,15.309633047122787,57.73562210653619,75.71970085032264,10.087186189687772,535767483.0896711,66.98768972812276,8.4416555,9.183204880863759,7.70010611913624,0.41513306788843085,-0.018020404747204646,0
2008-12-29,8.73541,8.83031,8.56074,8.74407,10262677.753935,0,29,12,8.570172857142856,8.660136497240588,0.1808556720796286,14.904547587239149,54.48968424140394,64.08447612217718,8.353325171376321,525504805.3357361,60.97496511038349,8.444849999999999,9.191018066510772,7.698681933489226,0.40993284875354297,0.009347681589661984,1
2008-12-30,8.7809,8.84843,8.67919,8.82619,12183114.716148,1,30,12,8.622951428571428,8.682276964275175,0.17782968452430659,14.58296121042298,55.869655896547535,70.09381357296529,8.55374253908945,537687920.051884,67.08930240609014,8.4829125,9.225333866445919,7.74049113355408,0.3927405024140042,0.01495638319330281,1
2008-12-31,8.84843,9.02732,8.72418,8.95919,11312283.393554,2,31,12,8.686467857142857,8.71919870237182,0.1840420340519131,14.812129004898738,58.086337480187865,79.82642293675991,8.721700677630425,549000203.445438,75.48023801555323,8.523303,9.276993392060577,7.769612607939424,0.38634046652728954,0.02608661092529892,1
2009-01-02,8.94788,9.25425,8.92099,9.19598,10236808.751718,4,2,1,8.762558571428572,8.782769542055577,0.2057011451171089,15.619499420754055,61.76835139223051,95.79557261602399,13.856020602091162,559237012.1971561,75.15958123572601,8.5654365,9.368970957911685,7.761902042088316,0.3825490046324832,0.0057003504400165,1
2009-01-05,9.17274,9.36885,9.12302,9.24855,13947141.164032,0,5,1,8.834563571428571,8.844873603114834,0.22451997976799376,16.644647676168116,62.55482646692835,91.41327623126335,8.242210313062149,573184153.361188,81.65696680242048,8.6310505,9.432677315232267,7.829423684767734,0.3727833614444487,-0.014356692205776012,0
2009-01-06,9.26745,9.48995,9.04711,9.11672,14598250.004209,1,6,1,8.90884,8.88111978936619,0.22618909546577548,17.877013771834445,59.262500208823376,72.07198443579773,8.178996231358514,558585903.356979,74.08001573700054,8.6743165,9.482688837534768,7.86594416246523,0.3777874070555595,-0.010966244800802502,0
2009-01-07,9.03835,9.03835,8.83031,9.01729,25606190.46253,2,7,1,8.942624285714286,8.899275817450699,0.21698741579348635,18.08838569848903,56.83292728722797,61.27102742476004,0.6816476557126633,532979712.894449,62.86432062715897,8.717317,9.502256793846907,7.932377206153092,0.3712604494087338,0.008771162811764122,1
2009-01-08,9.01916,9.11485,8.96707,9.09673,13099164.229866,3,8,1,8.990430714285713,8.925603041790605,0.21364242555686808,18.486774936164856,58.303727488398785,62.64546344058449,1.40038568291515,546078877.124315,68.73147377743058,8.767789,9.513003619821985,8.022574380178016,0.35529756016525293,-0.021351503207820383,0
2009-01-09,9.11011,9.14123,8.86586,8.90456,12284940.203655,4,9,1,8.986739285714286,8.922797302885192,0.19325723462439726,18.428655755581566,53.550429130588306,37.00132370508286,-1.7914434669057813,533793936.92066,58.344508075424436,8.809519,9.483853825317828,8.135184174682172,0.34958844872487777,-0.006066953140209124,0
